Vancouver, 104772, 242284.75, 1862565.0, 0.13, 103301, 1269, 202, 0.165, 1836500
Calgary, 45524, 154987.0, 1131510.0, 0.137, 44660, 741, 123, 0.163, 938300
Edmonton, 40804, 92926.25, 727653.5, 0.128, 40081, 658, 65, 0.16, 812400
Winnipeg, 27866, 65291.25, 466663.0, 0.14, 27425, 380, 61, 0.162, 637900
Toronto, 176565, 775437.75, 5703259.0, 0.136, 172013, 3867, 685, 0.186, 4551800
Ottawa, 37254, 97252.75, 696140.0, 0.14, 36592, 582, 80, 0.175, 863000
Montréal, 152932, 577076.0, 4248551.0, 0.136, 150229, 2247, 456, 0.152, 3256300
Quebec, 49497, 110593.25, 724018.5, 0.153, 48697, 710, 90, 0.149, 643200
